gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Tenure_Group,TotalCharges_Group,MonthlyCharges_Group,Avg_Monthly_Spend,Customer_Lifetime_Value,Has_Internet,Has_Security,Streaming_User,Support_User,Service_Count
0,0,1,0,0.013888888888888888,0,1,0,0,2,0,0,0,0,0,1,2,0.11542288557213931,0.001275098084468036,0,0-12,Low,Low,0.05229846214634047,0.003491228070175439,0,0,0,0,0.14285714285714285
1,0,0,0,0.4722222222222222,1,0,0,2,0,2,0,0,0,1,0,3,0.3850746268656716,0.21586660512347106,0,25-48,Low,Medium,0.4080863206335013,0.22646783625730998,0,1,0,1,0.2857142857142857
1,0,0,0,0.027777777777777776,1,0,0,2,2,0,0,0,0,0,1,3,0.35422885572139307,0.010310408492960998,1,0-12,Low,Medium,0.24471733230740444,0.012596491228070177,0,1,0,0,0.2857142857142857
1,0,0,0,0.625,0,1,0,2,0,2,2,0,0,1,0,0,0.23930348258706463,0.21024117239787676,0,25-48,Low,Low,0.28084475485526766,0.2226315789473684,0,1,0,1,0.4285714285714286
0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,0,0,0,1,2,0.5218905472636816,0.015330025386568198,1,0-12,Low,Medium,0.3767918230688448,0.016538011695906435,1,0,0,0,0.0
0,0,0,0,0.1111111111111111,1,2,1,0,0,2,0,2,2,0,1,2,0.8099502487562189,0.09251096238172168,1,0-12,Low,High,0.7467522069603736,0.09323976608187136,1,0,1,1,0.5714285714285714
1,0,0,1,0.3055555555555555,1,2,1,0,2,0,0,2,0,0,1,1,0.7049751243781094,0.22277867528271408,0,13-24,Low,High,0.688364853373382,0.22926315789473684,1,0,1,0,0.4285714285714286
0,0,0,0,0.1388888888888889,0,1,0,2,0,0,0,0,0,0,0,3,0.11442786069651739,0.032667897530579276,0,0-12,Low,Low,0.16634209374583492,0.0347953216374269,0,1,0,0,0.14285714285714285
0,0,1,0,0.38888888888888884,1,2,1,0,0,2,2,2,2,0,1,2,0.8611940298507462,0.3493249480729287,1,25-48,Medium,High,0.8730841009574343,0.3432046783625731,1,0,1,1,0.7142857142857143
1,0,0,1,0.861111111111111,1,0,0,2,2,0,0,0,0,1,0,0,0.3771144278606965,0.4003173321024694,0,49-72,Medium,Medium,0.4206431564546628,0.40716959064327485,0,1,0,0,0.2857142857142857
1,0,1,1,0.18055555555555555,1,0,0,2,0,0,0,0,0,0,1,3,0.3154228855721393,0.06561850911608587,0,13-24,Low,Low,0.2985555791572034,0.07594736842105264,0,1,0,0,0.14285714285714285
1,0,0,0,0.2222222222222222,1,0,2,1,1,1,1,1,1,2,0,1,0.006965174129353213,0.035541195476575124,0,13-24,Low,Low,0.09145198511750578,0.03546198830409357,1,1,1,1,0.4285714285714286
1,0,1,0,0.8055555555555555,1,2,1,0,0,2,0,2,2,1,0,1,0.8169154228855721,0.6533925686591276,0,49-72,Medium,High,0.7934169832013532,0.6807368421052631,1,0,1,1,0.5714285714285714
1,0,0,0,0.6805555555555555,1,2,1,0,2,2,0,2,2,0,1,0,0.8502487562189055,0.578986845141934,1,49-72,Medium,High,0.8338242126168468,0.5943040935672516,1,0,1,1,0.7142857142857143
1,0,0,0,0.3472222222222222,1,0,1,2,0,2,2,2,2,0,1,2,0.8681592039800995,0.30778329102238633,0,25-48,Low,High,0.8573572944269504,0.3084795321637427,1,1,1,1,0.7142857142857143
0,0,1,1,0.9583333333333333,1,2,1,2,2,2,2,2,2,2,0,1,0.945273631840796,0.9088795291945534,0,49-72,High,High,0.9436906705327157,0.9139473684210526,1,1,1,1,1.0
0,0,0,0,0.7222222222222222,1,0,2,1,1,1,1,1,1,1,0,3,0.023880597014925342,0.11587237479806141,0,49-72,Low,Low,0.09215711701927091,0.1255906432748538,1,1,1,1,0.4285714285714286
1,0,0,1,0.986111111111111,1,2,1,2,0,2,0,2,2,2,0,0,0.8800995024875623,0.8496942072467113,0,49-72,High,High,0.8502674867166461,0.886046783625731,1,1,1,1,0.7142857142857143
0,0,1,1,0.1388888888888889,1,0,0,0,0,2,2,0,0,0,0,1,0.36766169154228856,0.05879875375028849,1,0-12,Low,Medium,0.3538547484977357,0.06456140350877193,0,0,0,1,0.2857142857142857
0,0,0,0,0.29166666666666663,1,0,1,0,2,2,0,0,2,0,1,2,0.7144278606965173,0.2127971382414032,0,13-24,Low,High,0.6876430069675576,0.22117543859649122,1,0,1,1,0.4285714285714286
1,1,0,0,0.013888888888888888,0,1,0,0,0,2,0,0,2,0,1,2,0.21293532338308457,0.0024059543041772442,1,0-12,Low,Low,0.09693053143813753,0.004637426900584795,0,0,1,1,0.2857142857142857
1,0,1,0,0.16666666666666666,1,0,2,1,1,1,1,1,1,1,0,0,0.015422885572139305,0.02116893607200554,0,0-12,Low,Low,0.05806139417028129,0.02778947368421053,1,1,1,1,0.4285714285714286
