customerID,Contract,PaperlessBilling,PaymentMethod,tenure_group,MonthlyChargeBand,TotalChargeBand,contract_key
7590-VHVEG,Month-to-month,Yes,Electronic check,0-12 Months,Low,Q1,1
5575-GNVDE,One year,No,Mailed check,25-48 Months,Medium,Q3,2
3668-QPYBK,Month-to-month,Yes,Mailed check,0-12 Months,Medium,Q1,3
7795-CFOCW,One year,No,Bank transfer (automatic),25-48 Months,Medium,Q3,4
9237-HQITU,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,5
9305-CDSKC,Month-to-month,Yes,Electronic check,0-12 Months,Premium,Q2,6
1452-KIOVK,Month-to-month,Yes,Credit card (automatic),13-24 Months,High,Q3,7
6713-OKOMC,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,8
7892-POOKP,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q3,9
6388-TABGU,One year,No,Bank transfer (automatic),61-72 Months,Medium,Q3,10
9763-GRSKD,Month-to-month,Yes,Mailed check,13-24 Months,Medium,Q2,11
7469-LKBCI,Two year,No,Credit card (automatic),13-24 Months,Low,Q1,12
8091-TTVAX,One year,No,Credit card (automatic),49-60 Months,Premium,Q4,13
0280-XJGEX,Month-to-month,Yes,Bank transfer (automatic),49-60 Months,Premium,Q4,14
5129-JLPIS,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q3,15
3655-SNQYZ,Two year,No,Credit card (automatic),61-72 Months,Premium,Q4,16
8191-XWSZG,One year,No,Mailed check,49-60 Months,Low,Q2,17
9959-WOFKT,Two year,No,Bank transfer (automatic),61-72 Months,Premium,Q4,18
4190-MFLUW,Month-to-month,No,Credit card (automatic),0-12 Months,Medium,Q2,19
4183-MYFRB,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,20
8779-QRDMV,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,21
1680-VDCWW,One year,No,Bank transfer (automatic),0-12 Months,Low,Q1,22
1066-JKSGK,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,23
3638-WEABW,Two year,Yes,Credit card (automatic),49-60 Months,Medium,Q3,24
6322-HRPFA,Month-to-month,No,Credit card (automatic),49-60 Months,Medium,Q3,25
6865-JZNKO,Month-to-month,Yes,Bank transfer (automatic),25-48 Months,Medium,Q3,26
6467-CHFZW,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q4,27
8665-UTDHZ,Month-to-month,No,Electronic check,0-12 Months,Low,Q1,28
5248-YGIJN,Two year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,29
8773-HHUOZ,Month-to-month,Yes,Mailed check,13-24 Months,Medium,Q2,30
3841-NFECX,Two year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,31
4929-XIHVW,Month-to-month,Yes,Credit card (automatic),0-12 Months,Premium,Q1,32
6827-IEAUQ,One year,No,Mailed check,25-48 Months,Medium,Q3,33
7310-EGVHZ,Month-to-month,No,Bank transfer (automatic),0-12 Months,Low,Q1,34
3413-BMNZE,Month-to-month,No,Bank transfer (automatic),0-12 Months,Medium,Q1,35
6234-RAAPL,Two year,No,Bank transfer (automatic),61-72 Months,Premium,Q4,36
6047-YHPVI,Month-to-month,Yes,Electronic check,0-12 Months,Medium,Q1,37
6572-ADKRS,Month-to-month,Yes,Credit card (automatic),25-48 Months,High,Q3,38
5380-WJKOV,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q3,39
8168-UQWWF,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Premium,Q2,40
8865-TNMNX,One year,No,Mailed check,0-12 Months,Medium,Q2,41
9489-DEDVP,Two year,Yes,Credit card (automatic),61-72 Months,Medium,Q4,42
9867-JCZSP,One year,No,Mailed check,13-24 Months,Low,Q2,43
4671-VJLCL,Two year,Yes,Credit card (automatic),61-72 Months,High,Q4,44
4080-IIARD,Month-to-month,Yes,Electronic check,13-24 Months,High,Q2,45
3714-NTNFO,Month-to-month,Yes,Electronic check,49-60 Months,High,Q4,46
5948-UJZLF,Month-to-month,No,Mailed check,0-12 Months,Medium,Q1,47
7760-OYPDY,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,48
7639-LIAYI,Two year,Yes,Credit card (automatic),49-60 Months,High,Q4,49
2954-PIBKO,Two year,Yes,Credit card (automatic),61-72 Months,Medium,Q4,50
8012-SOUDQ,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q4,51
9420-LOJKX,Month-to-month,Yes,Credit card (automatic),13-24 Months,Premium,Q3,52
6575-SUVOI,Month-to-month,Yes,Credit card (automatic),25-48 Months,Medium,Q3,53
7495-OOKFY,Month-to-month,Yes,Credit card (automatic),0-12 Months,High,Q2,54
4667-QONEA,One year,Yes,Credit card (automatic),49-60 Months,High,Q4,55
1658-BYGOY,Month-to-month,Yes,Electronic check,13-24 Months,Premium,Q3,56
8769-KKTPH,One year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,57
5067-XJQFU,One year,Yes,Electronic check,61-72 Months,Premium,Q4,58
3957-SQXML,Two year,No,Credit card (automatic),25-48 Months,Low,Q2,59
5954-BDFSG,Two year,Yes,Credit card (automatic),61-72 Months,Premium,Q4,60
0434-CSFON,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q4,61
1215-FIGMP,Month-to-month,Yes,Bank transfer (automatic),49-60 Months,High,Q4,62
0526-SXDJP,Two year,No,Bank transfer (automatic),61-72 Months,Medium,Q3,63
0557-ASKVU,One year,Yes,Credit card (automatic),13-24 Months,Medium,Q2,64
5698-BQJOH,Month-to-month,No,Electronic check,0-12 Months,Premium,Q2,65
5122-CYFXA,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,66
8627-ZYGSZ,One year,Yes,Electronic check,25-48 Months,High,Q3,67
3410-YOQBQ,Two year,No,Mailed check,25-48 Months,High,Q3,68
3170-NMYVV,Two year,No,Bank transfer (automatic),49-60 Months,Low,Q2,69
7410-OIEDU,Month-to-month,Yes,Mailed check,0-12 Months,High,Q2,70
2273-QCKXA,Month-to-month,No,Mailed check,0-12 Months,Medium,Q1,71
0731-EBJQB,One year,Yes,Electronic check,49-60 Months,Low,Q2,72
1891-QRQSA,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,73
8028-PNXHQ,Two year,Yes,Bank transfer (automatic),61-72 Months,Low,Q3,74
5630-AHZIL,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,Medium,Q1,75
2673-CXQEU,One year,No,Electronic check,49-60 Months,Premium,Q4,76
6416-JNVRK,One year,No,Credit card (automatic),25-48 Months,Medium,Q3,77
5590-ZSKRV,Month-to-month,No,Mailed check,0-12 Months,Medium,Q2,78
0191-ZHSKZ,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,79
3887-PBQAO,One year,Yes,Credit card (automatic),25-48 Months,Low,Q2,80
5919-TMRGD,Month-to-month,Yes,Electronic check,0-12 Months,High,Q1,81
8108-UXRQN,Month-to-month,No,Electronic check,0-12 Months,Medium,Q2,82
9191-MYQKX,Month-to-month,Yes,Bank transfer (automatic),0-12 Months,High,Q2,83
9919-YLNNG,Month-to-month,Yes,Bank transfer (automatic),25-48 Months,Premium,Q4,84
0318-ZOPWS,Two year,Yes,Bank transfer (automatic),49-60 Months,Low,Q2,85
4445-ZJNMU,Month-to-month,Yes,Credit card (automatic),0-12 Months,Premium,Q2,86
4808-YNLEU,One year,Yes,Bank transfer (automatic),25-48 Months,Medium,Q3,87
1862-QRWPE,Two year,No,Bank transfer (automatic),25-48 Months,Low,Q2,88
2796-NNUFI,Two year,Yes,Mailed check,25-48 Months,Low,Q2,89
3016-KSVCP,Month-to-month,No,Mailed check,25-48 Months,Low,Q2,90
4767-HZZHQ,Month-to-month,No,Bank transfer (automatic),25-48 Months,High,Q3,91
2424-WVHPL,Month-to-month,No,Electronic check,0-12 Months,High,Q1,92
7233-PAHHL,Two year,Yes,Mailed check,61-72 Months,High,Q4,93
6067-NGCEU,Month-to-month,Yes,Credit card (automatic),61-72 Months,Premium,Q4,94
9848-JQJTX,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,95
8637-XJIVR,Month-to-month,Yes,Electronic check,0-12 Months,High,Q2,96
9803-FTJCG,One year,Yes,Credit card (automatic),61-72 Months,Medium,Q4,97
0278-YXOOG,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,98
3212-KXOCR,Two year,No,Bank transfer (automatic),49-60 Months,Low,Q2,99
4598-XLKNJ,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q3,100
6380-ARCEH,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,101
3679-XASPY,Month-to-month,No,Electronic check,0-12 Months,Low,Q1,102
7123-WQUHX,One year,No,Bank transfer (automatic),25-48 Months,Premium,Q3,103
5386-THSLQ,One year,No,Bank transfer (automatic),61-72 Months,Medium,Q3,104
3192-NQECA,Two year,Yes,Bank transfer (automatic),61-72 Months,Premium,Q4,105
6180-YBIQI,Month-to-month,No,Mailed check,0-12 Months,Low,Q1,106
6728-DKUCO,One year,Yes,Electronic check,61-72 Months,Premium,Q4,107
9750-BOOHV,One year,No,Mailed check,25-48 Months,Low,Q2,108
8597-CWYHH,One year,No,Mailed check,25-48 Months,Premium,Q4,109
2848-YXSMW,Two year,No,Credit card (automatic),61-72 Months,Low,Q2,110
0486-HECZI,Month-to-month,Yes,Electronic check,49-60 Months,Premium,Q4,111
4549-ZDQYY,One year,No,Credit card (automatic),49-60 Months,Medium,Q3,112
5712-AHQNN,Month-to-month,Yes,Electronic check,25-48 Months,Premium,Q4,113
4846-WHAFZ,Month-to-month,Yes,Electronic check,25-48 Months,High,Q3,114
