customerID,gender,SeniorCitizen,Partner,Dependents,customer_key
7590-VHVEG,Female,No,Yes,No,1
5575-GNVDE,Male,No,No,No,2
3668-QPYBK,Male,No,No,No,3
7795-CFOCW,Male,No,No,No,4
9237-HQITU,Female,No,No,No,5
9305-CDSKC,Female,No,No,No,6
1452-KIOVK,Male,No,No,Yes,7
6713-OKOMC,Female,No,No,No,8
7892-POOKP,Female,No,Yes,No,9
6388-TABGU,Male,No,No,Yes,10
9763-GRSKD,Male,No,Yes,Yes,11
7469-LKBCI,Male,No,No,No,12
8091-TTVAX,Male,No,Yes,No,13
0280-XJGEX,Male,No,No,No,14
5129-JLPIS,Male,No,No,No,15
3655-SNQYZ,Female,No,Yes,Yes,16
8191-XWSZG,Female,No,No,No,17
9959-WOFKT,Male,No,No,Yes,18
4190-MFLUW,Female,No,Yes,Yes,19
4183-MYFRB,Female,No,No,No,20
8779-QRDMV,Male,Yes,No,No,21
1680-VDCWW,Male,No,Yes,No,22
1066-JKSGK,Male,No,No,No,23
3638-WEABW,Female,No,Yes,No,24
6322-HRPFA,Male,No,Yes,Yes,25
6865-JZNKO,Female,No,No,No,26
6467-CHFZW,Male,No,Yes,Yes,27
8665-UTDHZ,Male,No,Yes,Yes,28
5248-YGIJN,Male,No,Yes,No,29
8773-HHUOZ,Female,No,No,Yes,30
3841-NFECX,Female,Yes,Yes,No,31
4929-XIHVW,Male,Yes,Yes,No,32
6827-IEAUQ,Female,No,Yes,Yes,33
7310-EGVHZ,Male,No,No,No,34
3413-BMNZE,Male,Yes,No,No,35
6234-RAAPL,Female,No,Yes,Yes,36
6047-YHPVI,Male,No,No,No,37
6572-ADKRS,Female,No,No,No,38
5380-WJKOV,Male,No,No,No,39
8168-UQWWF,Female,No,No,No,40
8865-TNMNX,Male,No,Yes,Yes,41
9489-DEDVP,Female,No,Yes,Yes,42
9867-JCZSP,Female,No,Yes,Yes,43
4671-VJLCL,Female,No,No,No,44
4080-IIARD,Female,No,Yes,No,45
3714-NTNFO,Female,No,No,No,46
5948-UJZLF,Male,No,No,No,47
7760-OYPDY,Female,No,No,No,48
7639-LIAYI,Male,No,No,No,49
2954-PIBKO,Female,No,Yes,Yes,50
8012-SOUDQ,Female,Yes,No,No,51
9420-LOJKX,Female,No,No,No,52
6575-SUVOI,Female,Yes,Yes,No,53
7495-OOKFY,Female,Yes,Yes,No,54
4667-QONEA,Female,Yes,Yes,Yes,55
1658-BYGOY,Male,Yes,No,No,56
8769-KKTPH,Female,No,Yes,Yes,57
5067-XJQFU,Male,Yes,Yes,Yes,58
3957-SQXML,Female,No,Yes,Yes,59
5954-BDFSG,Female,No,No,No,60
0434-CSFON,Female,No,Yes,No,61
1215-FIGMP,Male,No,No,No,62
0526-SXDJP,Male,No,Yes,No,63
0557-ASKVU,Female,No,Yes,Yes,64
5698-BQJOH,Female,No,No,No,65
5122-CYFXA,Female,No,No,No,66
8627-ZYGSZ,Male,No,Yes,No,67
