customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,HasStreaming,HasSecurityBundle,ServiceCount,service_key
7590-VHVEG,No,No phone service,DSL,No,Yes,No,No,No,No,No,No,2,1
5575-GNVDE,Yes,No,DSL,Yes,No,Yes,No,No,No,No,Yes,4,2
3668-QPYBK,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,4,3
7795-CFOCW,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No,Yes,4,4
9237-HQITU,Yes,No,Fiber optic,No,No,No,No,No,No,No,No,2,5
9305-CDSKC,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,6,6
1452-KIOVK,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,No,5,7
6713-OKOMC,No,No phone service,DSL,Yes,No,No,No,No,No,No,Yes,2,8
7892-POOKP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,7,9
6388-TABGU,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,4,10
9763-GRSKD,Yes,No,DSL,Yes,No,No,No,No,No,No,Yes,3,11
7469-LKBCI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,12
8091-TTVAX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,6,13
0280-XJGEX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,7,14
5129-JLPIS,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7,15
3655-SNQYZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,16
8191-XWSZG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,17
9959-WOFKT,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,7,18
4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No,No,Yes,4,19
4183-MYFRB,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,No,5,20
8779-QRDMV,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes,No,3,21
1680-VDCWW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,22
1066-JKSGK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,23
3638-WEABW,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,5,24
6322-HRPFA,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,Yes,5,25
6865-JZNKO,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,4,26
6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,6,27
8665-UTDHZ,No,No phone service,DSL,No,Yes,No,No,No,No,No,No,2,28
5248-YGIJN,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,29
8773-HHUOZ,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,No,4,30
3841-NFECX,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No,Yes,7,31
4929-XIHVW,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,5,32
6827-IEAUQ,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,6,33
7310-EGVHZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,34
3413-BMNZE,Yes,No,DSL,No,No,No,No,No,No,No,No,2,35
6234-RAAPL,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,7,36
6047-YHPVI,Yes,No,Fiber optic,No,No,No,No,No,No,No,No,2,37
6572-ADKRS,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,No,3,38
5380-WJKOV,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,7,39
8168-UQWWF,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,6,40
8865-TNMNX,Yes,No,DSL,No,Yes,No,No,No,No,No,No,3,41
9489-DEDVP,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,Yes,6,42
9867-JCZSP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,43
4671-VJLCL,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,44
4080-IIARD,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Yes,7,45
3714-NTNFO,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,No,4,46
5948-UJZLF,Yes,No,DSL,No,Yes,No,No,No,No,No,No,3,47
7760-OYPDY,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,No,3,48
7639-LIAYI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,7,49
2954-PIBKO,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,Yes,6,50
8012-SOUDQ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,No,5,51
9420-LOJKX,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,6,52
6575-SUVOI,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,6,53
7495-OOKFY,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,No,No,4,54
4667-QONEA,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,7,55
1658-BYGOY,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,5,56
8769-KKTPH,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,6,57
5067-XJQFU,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,58
3957-SQXML,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,59
5954-BDFSG,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,7,60
0434-CSFON,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,6,61
1215-FIGMP,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,No,5,62
0526-SXDJP,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,No,Yes,4,63
0557-ASKVU,Yes,No,DSL,No,No,Yes,Yes,No,No,No,Yes,4,64
5698-BQJOH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,No,5,65
5122-CYFXA,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,6,66
8627-ZYGSZ,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,No,No,4,67
3410-YOQBQ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,68
3170-NMYVV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,69
7410-OIEDU,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,No,Yes,4,70
2273-QCKXA,Yes,No,DSL,No,No,No,Yes,No,No,No,Yes,3,71
0731-EBJQB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,72
1891-QRQSA,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,8,73
8028-PNXHQ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,74
5630-AHZIL,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,5,75
2673-CXQEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,8,76
6416-JNVRK,Yes,No,DSL,No,No,No,No,No,Yes,Yes,No,3,77
5590-ZSKRV,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,4,78
0191-ZHSKZ,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,6,79
3887-PBQAO,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,2,80
5919-TMRGD,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,No,3,81
8108-UXRQN,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes,4,82
9191-MYQKX,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,No,3,83
9919-YLNNG,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,84
0318-ZOPWS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,85
4445-ZJNMU,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,6,86
4808-YNLEU,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,4,87
1862-QRWPE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,88
2796-NNUFI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,89
3016-KSVCP,No,No phone service,DSL,No,No,No,No,Yes,No,Yes,No,2,90
4767-HZZHQ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,No,No,4,91
2424-WVHPL,Yes,No,Fiber optic,No,No,No,Yes,No,No,No,Yes,3,92
7233-PAHHL,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,8,93
6067-NGCEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,8,94
9848-JQJTX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,7,95
8637-XJIVR,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,Yes,4,96
9803-FTJCG,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,6,97
0278-YXOOG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,98
3212-KXOCR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,99
4598-XLKNJ,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,6,100
6380-ARCEH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,101
3679-XASPY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,1,102
7123-WQUHX,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,Yes,6,103
5386-THSLQ,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Yes,No,4,104
3192-NQECA,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,105
6180-YBIQI,No,No phone service,DSL,No,No,No,No,No,No,No,No,1,106
