fact_key,customerID,customer_key,service_key,contract_key,tenure,MonthlyCharges,TotalCharges,AvgRevenuePerMonth,Churn,ChurnFlag
1,7590-VHVEG,1,1,1,1,29.85,29.85,29.85,No,0
2,5575-GNVDE,2,2,2,34,56.95,1889.5,55.5735294117647,No,0
3,3668-QPYBK,3,3,3,2,53.85,108.15,54.075,Yes,1
4,7795-CFOCW,4,4,4,45,42.3,1840.75,40.90555555555556,No,0
5,9237-HQITU,5,5,5,2,70.7,151.65,75.825,Yes,1
6,9305-CDSKC,6,6,6,8,99.65,820.5,102.5625,Yes,1
7,1452-KIOVK,7,7,7,22,89.1,1949.4,88.60909090909091,No,0
8,6713-OKOMC,8,8,8,10,29.75,301.9,30.189999999999998,No,0
9,7892-POOKP,9,9,9,28,104.8,3046.05,108.78750000000001,Yes,1
10,6388-TABGU,10,10,10,62,56.15,3487.95,56.25725806451613,No,0
11,9763-GRSKD,11,11,11,13,49.95,587.45,45.18846153846154,No,0
12,7469-LKBCI,12,12,12,16,18.95,326.8,20.425,No,0
13,8091-TTVAX,13,13,13,58,100.35,5681.1,97.95,No,0
14,0280-XJGEX,14,14,14,49,103.7,5036.3,102.78163265306122,Yes,1
15,5129-JLPIS,15,15,15,25,105.5,2686.05,107.44200000000001,No,0
16,3655-SNQYZ,16,16,16,69,113.25,7895.15,114.42246376811593,No,0
17,8191-XWSZG,17,17,17,52,20.65,1022.95,19.672115384615385,No,0
18,9959-WOFKT,18,18,18,71,106.7,7382.25,103.97535211267606,No,0
19,4190-MFLUW,19,19,19,10,55.2,528.35,52.835,Yes,1
20,4183-MYFRB,20,20,20,21,90.05,1862.9,88.70952380952382,No,0
21,8779-QRDMV,21,21,21,1,39.65,39.65,39.65,Yes,1
22,1680-VDCWW,22,22,22,12,19.8,202.25,16.854166666666668,No,0
23,1066-JKSGK,23,23,23,1,20.15,20.15,20.15,Yes,1
24,3638-WEABW,24,24,24,58,59.9,3505.1,60.432758620689654,No,0
25,6322-HRPFA,25,25,25,49,59.6,2970.3,60.61836734693878,No,0
26,6865-JZNKO,26,26,26,30,55.3,1530.6,51.019999999999996,No,0
27,6467-CHFZW,27,27,27,47,99.35,4749.15,101.04574468085106,Yes,1
28,8665-UTDHZ,28,28,28,1,30.2,30.2,30.2,Yes,1
29,5248-YGIJN,29,29,29,72,90.25,6369.45,88.46458333333334,No,0
